year,AFR,CSA,CLA,CEB
YR2015,42.15486666666667,96.55172,79.172155,98.94
YR2016,40.896433846153855,40.18797,76.43565785714286,99.16666666666667
YR2017,59.27934888888889,60.64455,82.01427769230769,
YR2018,49.891585,61.005268,87.24020399999999,
YR2019,52.086034,63.33562666666666,87.548474,
